THE ONE-BODY DENSITY MATRIX FOR 2JO = 0 TO =, 0
.  0 1 0 1 4.00000
.  1 1 1 1 4.00000
.  1 3 1 3 5.65685
.  2 1 2 1 1.68459
.  2 3 2 3 0.77401
.  2 5 2 5 5.90097
THE ONE-BODY DENSITY MATRIX FOR 2JO = 0 TO =, 2
.  2 1 2 1 0.50451
.  2 3 2 3 0.11417
.  2 5 2 5 0.19285
THE ONE-BODY DENSITY MATRIX FOR 2JO = 2 TO =, 0
.  2 1 2 1 0.60513
.  2 3 2 1 0.02398
.  2 1 2 3 -0.02398
.  2 3 2 3 -0.08409
.  2 5 2 3 0.17717
.  2 3 2 5 -0.17717
.  2 5 2 5 0.11169
THE ONE-BODY DENSITY MATRIX FOR 2JO = 2 TO =, 2
.  2 1 2 1 0.58005
.  2 3 2 1 0.00804
.  2 1 2 3 -0.00804
.  2 3 2 3 -0.07685
.  2 5 2 3 0.18533
.  2 3 2 5 -0.18533
.  2 5 2 5 0.10019
