THE ONE-BODY DENSITY MATRIX FOR 2JO = 0 TO =, 0
.  0 1 0 1 4.0000000
.  1 1 1 1 4.0000000
.  1 3 1 3 5.6568542
.  2 1 2 1 1.17754
.  2 3 2 3 0.19126
.  2 5 2 5 0.89604
THE ONE-BODY DENSITY MATRIX FOR 2JO = 0 TO =, 2
.  2 1 2 1 0.35578
.  2 3 2 3 0.02824
.  2 5 2 5 0.34888
THE ONE-BODY DENSITY MATRIX FOR 2JO = 2 TO =, 0
.  2 1 2 1 0.42662
.  2 3 2 1 -0.01476
.  2 1 2 3 0.01476
.  2 3 2 3 -0.05634
.  2 5 2 3 -0.13394
.  2 3 2 5 0.13394
.  2 5 2 5 0.12704
THE ONE-BODY DENSITY MATRIX FOR 2JO = 2 TO =, 2
.  2 1 2 1 -0.39164
.  2 3 2 1 -0.01564
.  2 1 2 3 0.01564
.  2 3 2 3 0.01600
.  2 5 2 3 0.10506
.  2 3 2 5 -0.10506
.  2 5 2 5 -0.24666
