THE ONE-BODY DENSITY MATRIX FOR 2JO = 0 TO =, 0
.  0 1 0 1 10.39230
.  1 1 1 1 10.39230
.  1 3 1 3 14.69693
.  2 1 2 1 10.39230
.  2 3 2 3 14.69693
.  2 5 2 5 18.00000
.  3 1 3 1 10.39230
.  3 3 3 3 14.69693
.  3 5 3 5 18.00000
.  3 7 3 7 20.78461
.  4 1 4 1 4.480870454
.  4 3 4 3 6.179834406
.  4 5 4 5 9.518937888
.  4 7 4 7 14.11811855
.  4 9 4 9 23.23790
.  5 11 5 11 12.4067357
THE ONE-BODY DENSITY MATRIX FOR 2JO = 0 TO =, 2
.  4 1 4 1 2.529056376
.  4 3 4 3 3.420359208
.  4 5 4 5 4.703313114
.  4 7 4 7 3.806286642
.  5 11 5 11 7.081881786
