THE ONE-BODY DENSITY MATRIX FOR 2JO = 0 TO =, 0
.  0 1 0 1 5.6568542
.  1 1 1 1 5.6568542
.  1 3 1 3 8.0000000
.  2 1 2 1 1.25528
.  2 3 2 3 0.70967
.  2 5 2 5 4.4113
THE ONE-BODY DENSITY MATRIX FOR 2JO = 0 TO =, 2
.  2 1 2 1 -0.01582
.  2 3 2 3 0.20197
.  2 5 2 5 0.66072
THE ONE-BODY DENSITY MATRIX FOR 2JO = 2 TO =, 0
.  2 1 2 1 -0.09913
.  2 3 2 1 -0.02204
.  2 1 2 3 0.02204
.  2 3 2 3 0.10263
.  2 5 2 3 -0.03910
.  2 3 2 5 0.03910
.  2 5 2 5 0.49642
THE ONE-BODY DENSITY MATRIX FOR 2JO = 2 TO =, 2
.  2 1 2 1 0.10795
.  2 3 2 1 0.07772
.  2 1 2 3 -0.07772
.  2 3 2 3 -0.02887
.  2 5 2 3 0.07832
.  2 3 2 5 -0.07832
.  2 5 2 5 -0.29606
THE ONE-BODY DENSITY MATRIX FOR 2JO = 4 TO =, 0
.  2 3 2 1 0.15527
.  2 5 2 1 -0.58318
.  2 1 2 3 -0.15527
.  2 3 2 3 -0.00680
.  2 5 2 3 -0.27246
.  2 1 2 5 -0.58318
.  2 3 2 5 0.27247
.  2 5 2 5 -0.54346
THE ONE-BODY DENSITY MATRIX FOR 2JO = 4 TO =, 2
.  2 3 2 1 0.05253
.  2 5 2 1 0.09560
.  2 1 2 3 -0.05253
.  2 3 2 3 0.01220
.  2 5 2 3 -0.07176
.  2 1 2 5 0.09560
.  2 3 2 5 0.07177
.  2 5 2 5 -0.1109
THE ONE-BODY DENSITY MATRIX FOR 2JO = 6 TO =, 0
.  2 5 2 1 0.03867
.  2 3 2 3 0.06285
.  2 5 2 3 0.03949
.  2 1 2 5 0.03867
.  2 3 2 5 -0.03949
.  2 5 2 5 -0.53055
THE ONE-BODY DENSITY MATRIX FOR 2JO = 6 TO =, 2
.  2 5 2 1 -0.05911
.  2 3 2 3 -0.08675
.  2 5 2 3 -0.07793
.  2 1 2 5 -0.05911
.  2 3 2 5 0.07793
.  2 5 2 5 0.53443
